CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Segment,Value_Tier,Is_At_Risk,Is_Champion,Is_Lost,Monetary_Band
12000,154,3,1995.62,3,3,4,10,Loyal Customers,High Value,0,0,0,£500-2K
12001,395,2,613.93,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12003,708,1,1042.81,1,1,3,5,Needs Attention,Low Value,0,0,0,£500-2K
12004,144,1,103.3,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12005,20,1,417.1,5,1,2,8,New Customers,Medium Value,0,0,0,<£500
12006,1,6,5844.08,5,4,4,13,Champions,Champions,0,1,0,£5K-10K
12007,14,14,36623.16,5,5,5,15,Champions,Champions,0,1,0,£10K+
12008,157,1,643.1,3,1,2,6,Needs Attention,Medium Value,0,0,0,£500-2K
12010,58,4,3002.23,4,4,4,12,Champions,Champions,0,1,0,£2K-5K
12012,65,2,645.05,4,2,2,8,New Customers,Medium Value,0,0,0,£500-2K
12013,229,2,209.6,2,2,1,5,Lost,Low Value,0,0,1,<£500
12014,402,2,1356.09,1,2,3,6,Needs Attention,Medium Value,0,0,0,£500-2K
12017,130,1,10.84,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12018,257,5,3315.28,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12021,213,6,4457.92,2,4,4,10,At Risk,High Value,1,0,0,£2K-5K
12022,180,1,19.7,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12023,399,1,67.92,1,1,1,3,Lost,Low Value,0,0,1,<£500
12024,404,1,500.82,1,1,2,4,Lost,Low Value,0,0,1,£500-2K
12025,409,1,1144.51,1,1,3,5,Needs Attention,Low Value,0,0,0,£500-2K
12026,134,1,114.4,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12027,53,9,9454.31,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12029,260,1,145.86,2,1,1,4,Lost,Low Value,0,0,1,<£500
12030,337,2,1343.51,2,2,3,7,Needs Attention,Medium Value,0,0,0,£500-2K
12031,1,2,1015.97,5,2,3,10,New Customers,High Value,0,0,0,£500-2K
12032,391,2,694.75,2,2,2,6,Lost,Medium Value,0,0,1,£500-2K
12033,124,1,202.73,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12035,30,4,1645.3,4,4,3,11,Potential Loyal,High Value,0,0,0,£500-2K
12036,93,1,110.01,3,1,1,5,Needs Attention,Low Value,0,0,0,<£500
12038,3,4,1427.09,5,4,3,12,Potential Loyal,Champions,0,0,0,£500-2K
12040,97,3,1109.6,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12041,75,7,6221.31,4,5,5,14,Champions,Champions,0,1,0,£5K-10K
12043,208,3,1431.84,3,3,3,9,Potential Loyal,High Value,0,0,0,£500-2K
12044,17,3,1894.57,5,3,4,12,Loyal Customers,Champions,0,0,0,£500-2K
12045,65,17,47367.05,4,5,5,14,Champions,Champions,0,1,0,£10K+
12049,142,8,5930.08,3,5,5,13,Loyal Customers,Champions,0,0,0,£5K-10K
12050,10,3,3976.43,5,3,4,12,Loyal Customers,Champions,0,0,0,£2K-5K
12051,194,8,7401.05,3,5,5,13,Loyal Customers,Champions,0,0,0,£5K-10K
12052,738,1,36.6,1,1,1,3,Lost,Low Value,0,0,1,<£500
12054,4,6,2301.1,5,4,4,13,Champions,Champions,0,1,0,£2K-5K
12055,16,6,5641.91,5,4,4,13,Champions,Champions,0,1,0,£5K-10K
12056,67,1,12.04,4,1,1,6,New Customers,Medium Value,0,0,0,<£500
12057,20,4,1681.74,5,4,3,12,Potential Loyal,Champions,0,0,0,£500-2K
