CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12000,154,3,1995.62,3,3,4,334,10,Loyal Customers
12001,395,2,613.93,2,2,2,222,6,Lost
12003,708,1,1042.81,1,1,3,113,5,Needs Attention
12004,144,1,103.3,3,1,1,311,5,Needs Attention
12005,20,1,417.1,5,1,2,512,8,New Customers
12006,1,6,5844.08,5,4,4,544,13,Champions
12007,14,14,36623.16,5,5,5,555,15,Champions
12008,157,1,643.1,3,1,2,312,6,Needs Attention
12010,58,4,3002.23,4,4,4,444,12,Champions
12012,65,2,645.05,4,2,2,422,8,New Customers
12013,229,2,209.6,2,2,1,221,5,Lost
12014,402,2,1356.09,1,2,3,123,6,Needs Attention
12017,130,1,10.84,3,1,1,311,5,Needs Attention
12018,257,5,3315.28,2,4,4,244,10,At Risk
12021,213,6,4457.92,2,4,4,244,10,At Risk
12022,180,1,19.7,3,1,1,311,5,Needs Attention
12023,399,1,67.92,1,1,1,111,3,Lost
12024,404,1,500.82,1,1,2,112,4,Lost
12025,409,1,1144.51,1,1,3,113,5,Needs Attention
12026,134,1,114.4,3,1,1,311,5,Needs Attention
12027,53,9,9454.31,4,5,5,455,14,Champions
12029,260,1,145.86,2,1,1,211,4,Lost
12030,337,2,1343.51,2,2,3,223,7,Needs Attention
12031,1,2,1015.97,5,2,3,523,10,New Customers
12032,391,2,694.75,2,2,2,222,6,Lost
12033,124,1,202.73,3,1,1,311,5,Needs Attention
12035,30,4,1645.3,4,4,3,443,11,Potential Loyal
12036,93,1,110.01,3,1,1,311,5,Needs Attention
12038,3,4,1427.09,5,4,3,543,12,Potential Loyal
12040,97,3,1109.6,3,3,3,333,9,Potential Loyal
12041,75,7,6221.31,4,5,5,455,14,Champions
12043,208,3,1431.84,3,3,3,333,9,Potential Loyal
12044,17,3,1894.57,5,3,4,534,12,Loyal Customers
12045,65,17,47367.05,4,5,5,455,14,Champions
12049,142,8,5930.08,3,5,5,355,13,Loyal Customers
12050,10,3,3976.43,5,3,4,534,12,Loyal Customers
12051,194,8,7401.05,3,5,5,355,13,Loyal Customers
12052,738,1,36.6,1,1,1,111,3,Lost
12054,4,6,2301.1,5,4,4,544,13,Champions
12055,16,6,5641.91,5,4,4,544,13,Champions
12056,67,1,12.04,4,1,1,411,6,New Customers
12057,20,4,1681.74,5,4,3,543,12,Potential Loyal
12061,44,9,8906.74,4,5,5,455,14,Champions
12062,32,14,33912.35,4,5,5,455,14,Champions
12064,113,2,305.46,3,2,2,322,7,Needs Attention
12065,91,10,10418.27,3,5,5,355,13,Loyal Customers
12066,2,6,7904.85,5,4,5,545,14,Champions
12067,3,14,41161.24,5,5,5,555,15,Champions
12068,27,4,3043.4,5,4,4,544,13,Champions
12070,98,1,179.3,3,1,1,311,5,Needs Attention
12071,308,3,601.41,2,3,2,232,7,Price Sensitive
12076,23,9,21646.48,5,5,5,555,15,Champions
12078,449,2,1026.36,1,2,3,123,6,Needs Attention
12080,3,3,1918.51,5,3,4,534,12,Loyal Customers
12083,426,2,1430.8,1,2,3,123,6,Needs Attention
12087,32,6,5675.71,4,4,4,444,12,Champions
12088,701,1,95.49,1,1,1,111,3,Lost
12089,14,2,902.29,5,2,3,523,10,New Customers
12090,12,6,18555.6,5,4,5,545,14,Champions
12091,173,3,2382.95,3,3,4,334,10,Loyal Customers
12092,349,1,957.33,2,1,3,213,6,Needs Attention
12094,22,1,1009.43,5,1,3,513,9,New Customers
12096,7,23,58371.53,5,5,5,555,15,Champions
12097,36,2,849.47,4,2,3,423,9,New Customers
12098,85,2,1332.47,4,2,3,423,9,New Customers
12099,26,4,1731.86,5,4,3,543,12,Potential Loyal
12100,132,5,4558.98,3,4,4,344,11,Loyal Customers
12101,275,4,3514.77,2,4,4,244,10,At Risk
12103,1,4,1012.44,5,4,3,543,12,Potential Loyal
12104,63,4,2541.66,4,4,4,444,12,Champions
12105,136,4,2436.95,3,4,4,344,11,Loyal Customers
12108,366,1,142.71,2,1,1,211,4,Lost
12109,93,1,118.3,3,1,1,311,5,Needs Attention
12110,5,5,4295.39,5,4,4,544,13,Champions
12112,224,6,6206.44,2,4,5,245,11,At Risk
12113,147,4,1176.98,3,4,3,343,10,Potential Loyal
12114,633,1,496.9,1,1,2,112,4,Lost
12115,127,3,1441.66,3,3,3,333,9,Potential Loyal
12116,10,5,7582.77,5,4,5,545,14,Champions
12117,180,1,127.89,3,1,1,311,5,Needs Attention
12118,50,10,11609.03,4,5,5,455,14,Champions
12120,17,4,3553.64,5,4,4,544,13,Champions
12121,28,8,7583.98,5,5,5,555,15,Champions
12123,48,4,3239.92,4,4,4,444,12,Champions
12125,13,1,259.77,5,1,1,511,7,New Customers
12126,51,5,4679.65,4,4,4,444,12,Champions
12128,452,2,1611.53,1,2,3,123,6,Needs Attention
12130,123,4,5488.08,3,4,4,344,11,Loyal Customers
12132,2,12,40983.48,5,5,5,555,15,Champions
12134,91,1,272.22,3,1,1,311,5,Needs Attention
12139,59,4,3403.85,4,4,4,444,12,Champions
12140,7,5,2815.85,5,4,4,544,13,Champions
12141,239,1,552.12,2,1,2,212,5,Lost
12142,324,3,1509.5,2,3,3,233,8,At Risk
12143,441,1,775.6,1,1,2,112,4,Lost
12144,624,1,114.12,1,1,1,111,3,Lost
12145,76,9,8361.65,4,5,5,455,14,Champions
12147,386,4,4175.49,2,4,4,244,10,At Risk
12148,34,3,1192.52,4,3,3,433,10,Potential Loyal
12151,65,1,65.38,4,1,1,411,6,New Customers
12153,61,5,4768.86,4,4,4,444,12,Champions
12155,220,8,8358.97,2,5,5,255,12,At Risk
12156,63,3,2209.81,4,3,4,434,11,Loyal Customers
12157,108,2,1184.19,3,2,3,323,8,Potential Loyal
12158,41,13,34194.62,4,5,5,455,14,Champions
12159,2,3,2188.28,5,3,4,534,12,Loyal Customers
12162,24,3,1238.47,5,3,3,533,11,Potential Loyal
12163,21,27,73487.67,5,5,5,555,15,Champions
12164,25,2,1483.69,5,2,3,523,10,New Customers
12165,11,3,1127.47,5,3,3,533,11,Potential Loyal
12167,6,11,10285.02,5,5,5,555,15,Champions
12169,358,4,3436.9,2,4,4,244,10,At Risk
12171,193,3,1029.97,3,3,3,333,9,Potential Loyal
12172,447,1,35.51,1,1,1,111,3,Lost
12173,405,2,728.3,1,2,2,122,5,Lost
12175,9,3,3352.83,5,3,4,534,12,Loyal Customers
12176,87,12,13985.03,4,5,5,455,14,Champions
12180,341,1,226.86,2,1,1,211,4,Lost
12182,14,6,7292.84,5,4,5,545,14,Champions
12183,14,2,450.73,5,2,2,522,9,New Customers
12184,519,1,752.53,1,1,2,112,4,Lost
12185,382,1,140.28,2,1,1,211,4,Lost
12186,668,1,183.13,1,1,1,111,3,Lost
12187,52,7,9906.27,4,5,5,455,14,Champions
12190,82,3,1159.91,4,3,3,433,10,Potential Loyal
12191,273,4,4283.95,2,4,4,244,10,At Risk
12192,7,6,6275.51,5,4,5,545,14,Champions
12193,96,2,1026.44,3,2,3,323,8,Potential Loyal
12194,188,1,523.03,3,1,2,312,6,Needs Attention
12197,582,1,707.06,1,1,2,112,4,Lost
12198,49,2,1024.12,4,2,3,423,9,New Customers
12200,582,2,598.46,1,2,2,122,5,Lost
12201,375,1,390.06,2,1,2,212,5,Lost
12203,226,3,2814.41,2,3,4,234,9,At Risk
12204,4,7,5658.2,5,5,4,554,14,Champions
12206,43,7,2492.02,4,5,4,454,13,Champions
12207,223,1,142.49,2,1,1,211,4,Lost
12208,20,18,47868.15,5,5,5,555,15,Champions
12210,441,1,336.21,1,1,2,112,4,Lost
12211,10,6,5961.59,5,4,5,545,14,Champions
12213,76,3,1076.23,4,3,3,433,10,Potential Loyal
12214,29,1,450.07,5,1,2,512,8,New Customers
12215,89,6,6843.59,3,4,5,345,12,Loyal Customers
12216,11,7,5074.33,5,5,4,554,14,Champions
12218,23,3,2990.58,5,3,4,534,12,Loyal Customers
12220,8,17,45658.69,5,5,5,555,15,Champions
12221,731,1,809.17,1,1,2,112,4,Lost
12222,6,7,6771.09,5,5,5,555,15,Champions
12223,316,6,2834.63,2,4,4,244,10,At Risk
12225,67,9,8596.71,4,5,5,455,14,Champions
12227,430,1,742.97,1,1,2,112,4,Lost
12229,17,2,590.61,5,2,2,522,9,New Customers
12232,436,1,173.91,1,1,1,111,3,Lost
12233,59,5,5375.81,4,4,4,444,12,Champions
12234,195,4,4526.0,3,4,4,344,11,Loyal Customers
12236,127,4,1572.06,3,4,3,343,10,Potential Loyal
12237,10,3,1264.59,5,3,3,533,11,Potential Loyal
12238,38,1,270.37,4,1,1,411,6,New Customers
12239,133,3,1160.58,3,3,3,333,9,Potential Loyal
12241,384,2,127.09,2,2,1,221,5,Lost
12242,451,1,123.97,1,1,1,111,3,Lost
12244,48,13,26277.4,4,5,5,455,14,Champions
12246,5,2,624.51,5,2,2,522,9,New Customers
12247,164,4,2028.48,3,4,4,344,11,Loyal Customers
12250,1,2,916.65,5,2,3,523,10,New Customers
12251,98,3,1704.72,3,3,3,333,9,Potential Loyal
12253,103,5,1585.48,3,4,3,343,10,Potential Loyal
12254,23,3,1981.46,5,3,4,534,12,Loyal Customers
12255,174,1,89.03,3,1,1,311,5,Needs Attention
12257,65,2,303.78,4,2,2,422,8,New Customers
12260,23,3,1259.32,5,3,3,533,11,Potential Loyal
12261,149,4,2295.58,3,4,4,344,11,Loyal Customers
12263,521,3,1201.96,1,3,3,133,7,At Risk
12264,107,1,248.38,3,1,1,311,5,Needs Attention
12271,279,8,8677.96,2,5,5,255,12,At Risk
12272,111,2,1050.53,3,2,3,323,8,Potential Loyal
12273,468,1,86.85,1,1,1,111,3,Lost
12274,108,3,1924.27,3,3,4,334,10,Loyal Customers
12276,493,2,555.27,1,2,2,122,5,Lost
12278,1,9,10016.78,5,5,5,555,15,Champions
12279,734,1,39.4,1,1,1,111,3,Lost
12280,402,2,205.32,1,2,1,121,4,Lost
12281,3,6,3465.02,5,4,4,544,13,Champions
12282,89,3,2269.1,3,3,4,334,10,Loyal Customers
12283,456,1,177.7,1,1,1,111,3,Lost
12284,701,1,351.85,1,1,2,112,4,Lost
12285,41,1,666.04,4,1,2,412,7,New Customers
12287,380,2,550.32,2,2,2,222,6,Lost
12289,656,2,558.13,1,2,2,122,5,Lost
12290,120,3,1292.58,3,3,3,333,9,Potential Loyal
12292,341,1,19.81,2,1,1,211,4,Lost
12293,24,1,65.44,5,1,1,511,7,New Customers
12294,27,2,920.12,5,2,3,523,10,New Customers
12295,148,3,1258.93,3,3,3,333,9,Potential Loyal
12296,279,4,5793.7,2,4,4,244,10,At Risk
12297,233,2,823.03,2,2,3,223,7,Needs Attention
12298,12,24,67735.84,5,5,5,555,15,Champions
12299,9,18,45424.25,5,5,5,555,15,Champions
12301,113,2,603.66,3,2,2,322,7,Needs Attention
12304,529,2,626.2,1,2,2,122,5,Lost
12305,28,5,4277.13,5,4,4,544,13,Champions
12306,596,1,9.05,1,1,1,111,3,Lost
12307,377,1,216.16,2,1,1,211,4,Lost
12308,560,1,395.61,1,1,2,112,4,Lost
12311,584,1,10.72,1,1,1,111,3,Lost
12312,323,2,1016.25,2,2,3,223,7,Needs Attention
12313,686,1,39.78,1,1,1,111,3,Lost
12314,81,10,13172.91,4,5,5,455,14,Champions
12316,154,8,9576.67,3,5,5,355,13,Loyal Customers
12317,23,2,697.88,5,2,2,522,9,New Customers
12320,579,1,538.46,1,1,2,112,4,Lost
12321,359,2,515.15,2,2,2,222,6,Lost
12323,460,2,1549.78,1,2,3,123,6,Needs Attention
12325,39,7,5720.36,4,5,4,454,13,Champions
12326,25,1,51.2,5,1,1,511,7,New Customers
12328,13,7,9044.29,5,5,5,555,15,Champions
12329,51,1,902.23,4,1,3,413,8,New Customers
12330,46,6,5230.62,4,4,4,444,12,Champions
12333,709,1,49.53,1,1,1,111,3,Lost
12334,33,8,7133.89,4,5,5,455,14,Champions
